,term1,term2,sentence,is_cause,is_treat
6526,CONGESTIVE HEART FAILURE,DIGITALIS,Salutary effects can be expected in patients with CONGESTIVE HEART FAILURE who are treated with DIGITALIS and diuretic agents.,0,1
6527,MEAN PAIN SCORES,LIDOCAINE,"The MEAN PAIN SCORES for the four solutions were: 44.2 for plain lidocaine, 42.2 for warmed LIDOCAINE 36.7 for buffered lidocaine, and 29.2 for warmed, buffered lidocaine.",0,1
6528,SERUM HEPATITIS,HBSAG,"In SERUM HEPATITIS the high levels of HBSAG and HBcAb were observed during the acute period of the disease, while the content of HBsAb did not exceed the normal level.",0,1
6529,HEPATITIS B VIRUS-ASSOCIATED D,ANTIGEN (HBSAG) HEPATITIS B E,"All were positive for hepatitis B surface ANTIGEN (HBSAG) HEPATITIS B E antigen (HBeAg), and HEPATITIS B VIRUS-ASSOCIATED D polymerase (D p) for at least 6 months before entry.",0,1
6530,DUODEL ULCER,RANITIDINE 150 MG,"The author compares the efficacy of ranitidine 300 mg in a single bedtime dose, and RANITIDINE 150 MG twice daily, in 509 DUODEL ULCER patients treated in two Italian multicentre trials.",0,1
6531,GASTRIC ULCERS,RANITIDINE,RANITIDINE and cimetidine have been shown to be safe and effective in healing duodel and GASTRIC ULCERS and in prevention of duodel ulcer relapse.,0,1
6532,PAIN AND NEUROGENIC INFLAMMATION,INTRADERMAL INJECTION OF CAPSAICIN INTO,"Screening of a library of trimers of N alkylglycines resulted in the identification of two molecules referred to as DD161515 N 2 (2 (N methylpyrrolidinyl)ethylglycyl N 2,4 dichlorophenethylglycyl N (2,4 dichlorophenethyl)glycimide and DD191515 N 3 (N,N diethylamino)propylglycyl N 2,4 dichlorophenethylglycyl N (2,4 dichlorophenethyl)glycimide that selectively block VR1 channel activity with micromolar efficacy, rivaling that characteristic of vanilloid related inhibitors. These compounds appear to be noncompetitive VR1 antagonists that recognize a receptor site distinct from that of capsaicin. Intraperitoneal administration of both trialkylglycines into mice significantly attenuated thermal nociception as measured in the hot plate test. It is noteworthy that these compounds elimited PAIN AND NEUROGENIC INFLAMMATION evoked by INTRADERMAL INJECTION OF CAPSAICIN INTO the animal hindpaw, as well as the thermal hyperalgesia induced by tissue irritation with nitrogen mustard. In contrast, responses to mechanical stimuli were not modified by either compound. Modulation of sensory nerve fibers excitability appears to underlie the peptoid algesic activity. Collectively, these results indicate that blockade of VR1 activity attenuates chemical and thermal nociception and hyperalgesia, supporting the tenet that this ionotropic receptor contributes to chemical and thermal sensitivity and pain perception in vivo.",0,1
6533,HYPOTHYROIDISM,LEVOTHYROXINE,Bioequivalence of LEVOTHYROXINE preparations for treatment of HYPOTHYROIDISM,0,1
6534,TIOL MALARIA PROGRAM,CHLOROQUINE,"Children with symptomatic malaria in Bissau, Guinea Bissau were randomly assigned to treatment with a 25 mg/kg total dose of CHLOROQUINE as recommended by the TIOL MALARIA PROGRAM or with a higher total dose of 50 mg/kg.",0,1
6535,MULTIDRUG RESISTANT TUBERCULOSIS,ISONIAZID,"We compared all patients in England and Wales with ISONIAZID  and MULTIDRUG RESISTANT TUBERCULOSIS in two time periods (1993 1994 and 1998 2000) with patients with fully sensitive tuberculosis, examining separately patients without and with previous tuberculosis (a proxy for primary and secondary drug resistant tuberculosis.",0,1
6536,MEASLES,MEASLES VIRUS,"The occurrence of antibodies to the nucleoprotein and matrix (M) antigens of MEASLES VIRUS was determined in early and late measles convalescent sera and in sera from patients with multiple sclerosis, subacute sclerosing panencephalitis, chronic active hepatitis, and atypical MEASLES.",0,1
6537,GVHD,CYCLOSPORINE AND PREDNISONE,Its development may be associated with a high prevalence of biliary sludge and prolonged treatment of GVHD with CYCLOSPORINE AND PREDNISONE.,0,1
6538,MALARIA,CHLOROQUINE PHOSPHATE,All persons with MALARIA receive 600 mg CHLOROQUINE PHOSPHATE at the clinic (day 0) and a prescription for another 600 mg for day 1 and 300 mg on day 2.,0,1
6539,COBALAMIN DEFICIENCY,LOW COBALAMIN CONCENTRATIONS,LOW COBALAMIN CONCENTRATIONS do not indicate that the patient in question has COBALAMIN DEFICIENCY and values in the lower half of the reference interval do not exclude cobalamin deficiency.,0,1
6540,POSTMENOPAUSAL OSTEOPOROSIS,RECEPTOR MODULATOR (SERM RALOXIFENE,Various bisphosphotes and the selective estrogen RECEPTOR MODULATOR (SERM RALOXIFENE are approved treatments of POSTMENOPAUSAL OSTEOPOROSIS,0,1
6541,HYPOTHYROIDISM,LEVOTHYROXINE,"In a prospective, controlled study of 60 patients with type II amiodarone induced thyrotoxicosis treated with glucocorticoids compared with 60 patients with subacute thyroiditis similarly treated with glucocorticoids, permanent HYPOTHYROIDISM requiring LEVOTHYROXINE replacement occurred in 17% of patients with type II amiodarone induced thyrotoxicosis compared with 5% of patients with subacute thyroiditis ( 111.",0,1
6542,FOR TREATMENT OF VARICELLA AND HERPES ZOSTER,ACYCLOVIR,"Acyclovir is licensed FOR TREATMENT OF VARICELLA AND HERPES ZOSTER and acyclovir, valACYCLOVIR and famciclovir are approved for herpes zoster.",0,1
6543,PNEUMOCYSTIS CARINII PNEUMONIA,PENTAMIDINE AEROSOL,"From the pharmacological point of view, these studies prove the advantages of PENTAMIDINE AEROSOL in the treatment of PNEUMOCYSTIS CARINII PNEUMONIA (PCP) and provide information on extrarel excretion mechanisms and deep compartments.",0,1
6544,ABORTIVE VARICELLA EXANTHEMA,ACYCLOVIR,The newborns treated with varicella hyperimmunoglobulin and ACYCLOVIR developed ABORTIVE VARICELLA EXANTHEMA without further complications.,0,1
6545,MYOCARDIAL INFARCTION,ASPIRIN,Warfarin alone or with aspirin was superior to aspirin alone after acute myocardial infarction but increased bleeding  Keywords: Anticoagulants ASPIRIN Warfarin MYOCARDIAL INFARCTION  ACP Jourl Club.,0,1
6546,ARRHYTHMIAS,ANTIARRHYTHMIC TREATMENT,Sexual dimorphisms of atherosclerosis and the susceptibility to ARRHYTHMIAS and ANTIARRHYTHMIC TREATMENT have been reported.,0,1
6547,CLASS V CAVITIES,FLUORIDE CONTAINING AMALGAM,"CLASS V CAVITIES were prepared in 90 extracted premolars, a FLUORIDE CONTAINING AMALGAM was inserted in 45 cavities (experimental group) and a conventiol amalgam in 45 cavities (control group.",0,1
6548,ASTHMA,BECLOMETHASONE DIPROPIOTE,Long term animal studies of beclomethasone dipropiote and of budesonide and a few long term studies of BECLOMETHASONE DIPROPIOTE in the treatment of rhinitis and ASTHMA are available for the assessment of the possible risk of side effects.,0,1
6549,PAIN,ASPIRIN,"Rubin P, Yee JP, Ruoff G. Comparison of long term safety of ketorolac tromethamine and ASPIRIN in the treatment of chronic PAIN",0,1
6550,SEIZURES,MAGNESIUM SULFATE,Some SEIZURES occurred in patients in whom MAGNESIUM SULFATE levels were in the therapeutic range.,0,1
6551,HERPES ZOSTER,FAMCICLOVIR,In HERPES ZOSTER valacyclovir is as effective as FAMCICLOVIR and more effective than either placebo or acyclovir at facilitating cutaneous healing and healing of zoster associated pain and post herpetic neuralgia.,0,1
6552,CHRONIC HEPATITIS C,HEPATITIS A,"Infectious Diseases  Preventing hepatitis A and hepatitis B virus infections among men who have sex with men  Hepatology  The cost effectiveness of hepatitis A vaccition in patients with CHRONIC HEPATITIS C  Jourl of the American Medical Association  Incidence of hepatitis A in Israel following universal immunization of toddlers  New England Jourl of Medicine  An outbreak of HEPATITIS A associated with green onions  Vaccine  A prospective, randomized, comparative US trial of a combition hepatitis A and B vaccine (Twinrix) with corresponding monovalent vaccines (Havrix and Engerix B) in adults  Review  Clinical Microbiology Reviews  Hepatitis A:.",0,1
6553,PLAQUE,NON FLUORIDE AGENTS,"In the future, NON FLUORIDE AGENTS which modify the production of acid in PLAQUE  either antimicrobially, biochemically, or directly  appear to have the most promise for use in topical products and may prove to be effective anticaries systems.",0,1
6554,DRUG RESISTANT PULMORY TUBERCULOSIS,RIFAMPIN,"DRUG RESISTANT PULMORY TUBERCULOSIS  Archives of Interl Medicine  Improved adherence and less toxicity with RIFAMPIN vs isoniazid for treatment of latent tuberculosis: a retrospective study  Transmission of Mycobacterium tuberculosis through casual contact with an infectious case  Prospective validation of a prediction model for isolating inpatients with suspected pulmory tuberculosis  Lower risk of tuberculosis in obesity  Tuberculosis in South Asians living in the United States, 1993 2004  Isoniazid monoresistant tuberculosis in the United States, 1993 to 2003  Cost effectiveness of interferon gamma release assays vs tuberculin skin tests in health care workers  Tuberculosis and substance abuse in the.",0,1
6555,MALARIA,CHLOROQUINE,Rheumatoid arthritis and MALARIA have been treated with CHLOROQUINE for decades.,0,1
6556,MILD TO MODERATE ASTHMA,FLUTICASONE PROPIOTE,"A multicenter, double blind, parallel group study was conducted to evaluate the clinical efficacy and safety of low doses of inhaled FLUTICASONE PROPIOTE (FP) in patients with MILD TO MODERATE ASTHMA",0,1
6557,TDP VENTRICULAR TACHYCARDIA,DISOPYRAMIDE,We report a 76 year old woman who developed TDP VENTRICULAR TACHYCARDIA induced by combined use of clarithromycin and DISOPYRAMIDE,0,1
6558,WORM,ANTHELMINTIC,A strain of Haemonchus contortus (CAVR) isolated in Australia was found to be resistant to ivermectin (IVM) with 0.4 mg kg 1 of the ANTHELMINTIC failing to significantly reduce WORM burdens.,0,1
6559,PAIN VISUAL ALOG SCALE,LIDOCAINE,The aim was to compare the efficacy of transcutaneous electrical nerve stimulation (TENS) and local infiltration of 2% LIDOCAINE in the relief of episiotomy pain measured using a PAIN VISUAL ALOG SCALE (VAS.,0,1
6560,THROMBOEMBOLISM,HEPARIN,Subcutaneous calcium heparin can substitute the intravenous form of HEPARIN (either bolus or continuous) in the treatment of THROMBOEMBOLISM,0,1
6561,GASTRIC ULCER,MISOPROSTOL,"Five large controlled multicenter multicountry clinical trials have been conducted with misoprostol, including double blind placebo controlled comparisons of misoprostol in two duodel ulcer studies and one gastric ulcer study, and double blind comparisons of two doses of MISOPROSTOL and cimetidine in duodel ulcer and GASTRIC ULCER studies.",0,1
6562,ALCOHOLISM,DISULFIRAM,This article outlines a review of the literature about the use of DISULFIRAM and ltrexone for ALCOHOLISM and in patients with comorbid mental illness.,0,1
6563,SEVERE SYSTEMIC MYCOSES,AMPHOTERICIN B,"Two distinct eras of rapid progress in antifungal therapy followed: first, in the 1950's came the introduction of the polyenes, nystatin and pimaricin for cutaneous, vagil and intestil candidiasis, and AMPHOTERICIN B for the treatment of SEVERE SYSTEMIC MYCOSES",0,1
6564,CHF,DIGOXIN,a    Captopril Serum digoxin concentrations may increase by about 15 30% when captopril and DIGOXIN are used concomitantly for CHF,0,1
6565,MYOCARDIAL INFARCTION,CLOPIDOGREL,Recently the anti platelet drug CLOPIDOGREL has been publicized in the press as a breakthrough in the treatment of MYOCARDIAL INFARCTION,0,1
6566,HYPOPITUITARY HYPOTHYROIDISM,PRIMARY THYROXINE (T4) SUPPLEMENTAL THYROID,"We examined the results of the Northwest Regiol Screening Program (NWRSP) over its first 10 years to determine whether the detection of HYPOPITUITARY HYPOTHYROIDISM is a justified advantage of the PRIMARY THYROXINE (T4) SUPPLEMENTAL THYROID stimulating hormone (TSH) screening strategy, and to determine whether all such infants will be detected by this screening approach.",0,1
6567,VENOUS THROMBOSIS,HEPARIN,"However, once VENOUS THROMBOSIS has already occurred, it is necessary to use full dose HEPARIN preferably by the continuous intravenous route, with maintence of the partial thromboplastin time (PTT) at 1 1/2 times the control at all times.",0,1
6568,PAIN,LIGNOCAINE,"When the contrast medium was injected, first without and then with lignocaine, the PAIN was markedly reduced by LIGNOCAINE",0,1
6569,VARICELLA ZOSTER VIRUS,ACYCLOVIR,"Susceptibilities to brovavir 1 beta D arabinofuranosyl E 5 (2 bromovinyl) uracil and ACYCLOVIR of clinical isolates of VARICELLA ZOSTER VIRUS obtained from 58 patients with herpes zoster, included in a clinical trial of oral brovavir, were tested by a plaque reduction method.",0,1
6570,PULMORY EMBOLISM,HEPARIN,One patient had been treated by HEPARIN 1 month before for PULMORY EMBOLISM and the other had had a corory angiography and bypass graft surgery 5 months before for silent myocardial infarction.,0,1
6571,ACUTE RHEUMATIC FEVER,RHEUMATIC FEVER,This case provides further evidence of a genetic predisposition to RHEUMATIC FEVER and demonstrates the continued value of penicillin in the prophylaxis of ACUTE RHEUMATIC FEVER,0,1
6572,DIABETIC KETOACIDOSIS,TYPE 1 DIABETES MELLITUS,Not  effective as sole therapy for TYPE 1 DIABETES MELLITUS or DIABETIC KETOACIDOSIS; insulin is necessary.,0,1
6573,SYSTEMIC INFLAMMATORY RESPONSE SYNDROME,SEPSIS,SEPSIS and the SYSTEMIC INFLAMMATORY RESPONSE SYNDROME are common and represent a major factor in morbidity and mortality in intensive care units and the critically ill,0,1
6574,SUBACUTE CUTANEOUS LUPUS ERYTHEMATOSUS,LUPUS ERYTHEMATOSUS,SUBACUTE CUTANEOUS LUPUS ERYTHEMATOSUS (SCLE) is a subset of LUPUS ERYTHEMATOSUS which is characterized by unique cutaneous manifestations and immunological abnormalities.,0,1
6575,ALLERGIC RHINITIS,ATOPIC HISTORY,"About one third of patients have a history of asthma, and up to one half have some ATOPIC HISTORY including ALLERGIC RHINITIS and sal polyps.",0,1
6576,ATOPIC DERMATITIS,ATOPY,"Besides, an immunopathologic role for Candida has been suggested for ATOPIC DERMATITIS, ATOPY, and other conditions, overtly associated or not with Candida",0,1
6577,STRABISMIC AMBLYOPIA,STRABISMUS,"Visual evoked potentials (VEPs) produced by pattern reversal were compared with those elicited by onset of motion in 37 amblyopic children (20 with anisometropic amblyopia, seven with STRABISMIC AMBLYOPIA and 10 with both anisometropia and STRABISMUS",0,1
6578,GYRATE ATROPHY,HYPERORNITHINEMIA,The diagnosis of GYRATE ATROPHY was confirmed biochemically and clinically; HYPERORNITHINEMIA and a deficiency of ornithine ketoacid transamise were confirmed biochemically.,0,1
6579,GRAVES' DISEASE,THYROTOXICOSIS,"One was clinically euthyroid, whereas the other two were more unusual in that one had coincident GRAVES' DISEASE with THYROTOXICOSIS and one had primary myxodema.",0,1
6580,RESPIRATORY ALKALOSIS,HYPERVENTILATION,"They include increased oxygen consumption, HYPERVENTILATION and RESPIRATORY ALKALOSIS; increased cardiac output, systemic peripheral resistance and blood pressure; delayed gastric emptying; impaired uterine contractility and diminished uterine perfusion; and metabolic acidaemia",0,1
6581,HYPERSENSITIVITY TO ENVIRONMENTAL ALLERGENS,ALLERGY,It is accepted that ALLERGY is not the sole cause of asthma but nonetheless HYPERSENSITIVITY TO ENVIRONMENTAL ALLERGENS is a significant triggering factor in most countries of the world.,0,1
6582,HEMORRHAGIC SHOCK,HYPOVOLEMIA,Lactated Ringer's solution has been used for decades in the resuscitation of HYPOVOLEMIA and HEMORRHAGIC SHOCK,0,1
6583,DISCOID LUPUS,MALAR LUPUS RASHES,Direct immunofluorescence of the affected skin provided supportive evidence of cutaneous lupus in 60% of MALAR LUPUS RASHES and approximately 50% of subacute cutaneous and DISCOID LUPUS rashes.,0,1
6584,HYPERSENSITIVITY,ALLERGIC REACTIONS,A combition of various kinds of ALLERGIC REACTIONS of both the specific immediate type and of the local reaction of HYPERSENSITIVITY of the slow type plays its role in the development of acute appendicitis.,0,1
6585,ALLERGIC RHINITIS,ATOPIC RESPIRATORY DISEASES,"ATOPIC RESPIRATORY DISEASES such as ALLERGIC RHINITIS and asthma represent the effects of an immunological response to allergens, mediated through immunoglobulins E. Development of a clinically significant atopic reaction depends on environmental exposure.",0,1
6586,DIABETIC NEUROPATHY,DIABETES MELLITUS,"Diabetic neuropathy is common in patients with DIABETES MELLITUS, and 7.5% of diabetics experience pain from DIABETIC NEUROPATHY",0,1
6587,ALLERGIC RHINITIS,FAMILY ATOPY,"The prevalences of current asthma, cumulative asthma and asthma like symptoms were found in 1.2, 1.0 and 25.0%, respectively, of the 20 44 years age group and the prevalences of ALLERGIC RHINITIS allergic dermatitis and FAMILY ATOPY were found in 14.5, 10.9, and 15.2%, respectively, in all age group.",0,1
6588,SPONTANEOUS ISCHEMIC COLITIS,COLONIC ISCHEMIA,"Evidence: ? A retrospective study showed that the ture of the COLONIC ISCHEMIA (i.e., SPONTANEOUS ISCHEMIC COLITIS versus ischemia related to shock from other disease) is predictive of mortality.",0,1
6589,SYSTEMIC INFLAMMATORY RESPONSE SYNDROME,SEPSIS,"PCT and other calcitonin precursors in serum are present at less than 50 pg/ml in healthy individuals, but are highly elevated in serum where conditions leading to SYSTEMIC INFLAMMATORY RESPONSE SYNDROME or SEPSIS prevail",0,1
6590,ALLERGIES,HYPERSENSITIVITY,"Infectious causes of conjunctivitis should always be investigated, but ALLERGIES and HYPERSENSITIVITY also should be considered if the history is appropriate",0,1
6591,ALLERGIC VASCULITIS,CUTANEOUS ALLERGIC REACTIONS,"Hypersensitivity Reactions  Possible aphylactic or allergic reactions; CUTANEOUS ALLERGIC REACTIONS and serious ALLERGIC VASCULITIS often with purpura of extremities and extracutaneous involvement (e.g., rel.",0,1
6592,DIABETIC KETOACIDOSIS,INSULIN DEPENDENT DIABETES,Alysis of the mortality of children with INSULIN DEPENDENT DIABETES in Moscow in the eighties revealed a very high specific incidence of DIABETIC KETOACIDOSIS the principal cause of lethal outcomes occurring in the period of the disease manifestation in more than a half of the alyzed cases.,0,1
6593,DIABETES MELLITUS,DIABETIC KETOACIDOSIS,Ratiole: ? A significant number of new cases of DIABETES MELLITUS begin as DIABETIC KETOACIDOSIS,0,1
6594,DIABETIC NEUROPATHY,DIABETES,The prerequisite condition includes: (1) diagnosed as DIABETES and (2) other neuropathies than DIABETIC NEUROPATHY can be excluded.,0,1
6595,ALLERGIC RHINITIS AR,ATOPIC DISEASE,"Incidence and relative risk of ATOPIC DISEASE (atopic dermatitis; AD, bronchial asthma; BA, ALLERGIC RHINITIS AR) in Japanese infants and children in relation to their nutrition in infancy was alyzed from the data of the epidemiological survey which was conducted for 10,000 mothers of infants and children in 1993.",0,1
6596,ALLERGY,HYPERSENSITIVITY,These data support the hypothesis concerning a pathogenetic role of IFN in the development of ALLERGY of the immediate type HYPERSENSITIVITY,0,1
6597,PERENNIAL ALLERGIC CONJUNCTIVITIS,OCULAR ALLERGY CONDITIONS,The ocular symptoms associated with the most common OCULAR ALLERGY CONDITIONS such as seasol and PERENNIAL ALLERGIC CONJUNCTIVITIS are twice as likely to affect the allergy sufferer rather than sal symptoms alone.,0,1
6598,HYPERSENSITIVITY,ALLERGY,"The HYPERSENSITIVITY proved to be due to an ALLERGY to a reaction product, and the simultaneous presence of the preservatives 1,3,5 trihydroxyethylhexahydrotriazine and thymol was found to be necessary for the occurrence of a positive patch test reaction.",0,1
6599,GRAVES' DISEASE,THYROTOXICOSIS,Thyrotoxicosis in GRAVES' DISEASE is often aggravated in early pregncy and this aggravation is associated with postpartum relapse of THYROTOXICOSIS.,0,1
6600,CHRONIC RELAPSING ATOPIC DERMATITIS,A MODEL OF ATOPIC DISEASE,The Basenji greyhound (BG) has been proposed as A MODEL OF ATOPIC DISEASE because of its CHRONIC RELAPSING ATOPIC DERMATITIS as well as airway hyperresponsiveness.,0,1
6601,DIABETIC KETOACIDOSIS,DIABETES MELLITUS,"Hyperglycemic Effects  Hyperglycemia, new onset diabetes mellitus, or exacerbation of preexisting DIABETES MELLITUS reported with use of PIs; DIABETIC KETOACIDOSIS has occurred.",0,1
6602,STEVENS-JOHNSON SYNDROME,HYPERSENSITIVITY REACTION,A patient presented with a HYPERSENSITIVITY REACTION to the aromatic anticonvulsants which evolved into STEVENS-JOHNSON SYNDROME and was complicated by the presence of adult respiratory distress syndrome,0,1
6603,SYSTEMIC INFLAMMATORY RESPONSE SYNDROME,SEPSIS,"Both the concept of SYSTEMIC INFLAMMATORY RESPONSE SYNDROME (SIRS) and the definition of SEPSIS as the systemic response to infection, have actually been overwhelming and its generalization is contributing on the better prognosis after treatment for the patients with sepsis and also on the pioneer researches in this field, using molecular biology techniques.",0,1
6604,ASPHYXIATION,ASPHYXIA,asphyxiate    (                audio )  To cause ASPHYXIATION or ASPHYXIA,0,1
6605,ALLERGIC REACTIONS,ALLERGIES TO BEE AND,"In Switzerland, unlike other countries, ALLERGIC REACTIONS to ants are a rare phenomenon when compared to the well known ALLERGIES TO BEE AND wasp venom.",0,1
6606,ALLERGIC REACTION,HYPERSENSITIVITY SYMPTOMS,"Although many foods have been described to cause an ALLERGIC REACTION, only a few are responsible for the majority of HYPERSENSITIVITY SYMPTOMS",0,1
6607,DIABETIC KETOACIDOSIS,HYPERGLYCEMIC HYPEROSMOLAR NONKETOTIC COMA,"Diabetic ketoacidosis: diagnosis, DIABETIC KETOACIDOSIS treatment, HYPERGLYCEMIC HYPEROSMOLAR NONKETOTIC COMA and maintence treatment after hyperglycemic crisis.",0,1
6608,HYPEROSMOLAR NONKETOTIC COMA,DIABETIC KETOACIDOSIS,"Both DIABETIC KETOACIDOSIS (DKA) and hyperglycemic, HYPEROSMOLAR NONKETOTIC COMA (HHNC) are stressful metabolic occurrences brought about by the orchestration of numerous events.",0,1
6609,DOG HYPERSENSITIVITY SYMPTOMS,DOG HYPERSENSITIVITY,"However, the children who were exposed to a dog at home during early childhood developed DOG HYPERSENSITIVITY SYMPTOMS significantly earlier and had DOG HYPERSENSITIVITY slightly more often than the subjects with a later exposure or no exposure to dog.",0,1
6610,GRAVES' DISEASE,THYROTOXICOSIS,We previously reported that allergic rhinitis was an aggravating factor for GRAVES' DISEASE and that THYROTOXICOSIS relapsed 2 months after an allergic attack.,0,1
6611,ALLERGIC RHINITIS,FAMILY ATOPIC HISTORY,"This entailed further alysis of their birth history, FAMILY ATOPIC HISTORY specific allergic diseases (ALLERGIC RHINITIS atopic dermatitis, asthma), hernia type (direct or indirect), the onset of chronic cough and asthma.",0,1
6612,TUBEROUS SCLEROSIS,TONGUE BASE HAMARTOMA,"To the best of our knowledge, this is the first reported case of a TONGUE BASE HAMARTOMA in a patient with TUBEROUS SCLEROSIS",0,1
6613,DIABETIC NEUROPATHY,DIABETES,"The authors revealed that long-term compensation of diabetes, the duration of DIABETES and the biological age of the diabetics were statistically significant for the manifestation of DIABETIC NEUROPATHY",0,1
6614,ALLERGIC ASTHMA,ALLERGIC REACTIONS,These results showed that STA 1 could effectively suppress the Der p 5 induced ALLERGIC REACTIONS and the availability of STA 1 for the treatment of ALLERGIC ASTHMA was demonstrated in this study.,0,1
6615,DIABETIC NEUROPATHY,DIABETES,"The physician should ask about a history of DIABETES of long duration, including other manifestations of DIABETIC NEUROPATHY",0,1
6616,PROTEIN CALORIE MALNUTRITION,NUTRITIOL DEFICIENCIES,"Unfortutely the nutritiol adequacy of the postoperative diet has frequently been overlooked, and in the months to years that follow, NUTRITIOL DEFICIENCIES have become apparent, including PROTEIN CALORIE MALNUTRITION and various vitamin and mineral deficiencies contributing to medical illnesses and limiting optimal health.",0,1
6617,VERL KERATOCONJUNCTIVITIS,ALLERGY,"Allergic eye diseases are characterized by IgE mast cell mediated, as seen in allergic conjunctivitis; chronic mast cell activation and eosinophil/T lymphocyte mediated response, as seen in giant papillary conjunctivitis, VERL KERATOCONJUNCTIVITIS and atopic keratoconjunctivitis; or a T lymphocyte mediated response in contact ocular ALLERGY",0,1
6618,ATOPIC ECZEMA,ATOPIC DISEASES,"One suggestion for why some people develop ATOPIC DISEASES such as allergic rhinitis, asthma and ATOPIC ECZEMA is that there are alterations in their intestil microflora not seen in those without such conditions.",0,1
6619,PROTEIN CALORIE MALNUTRITION,MICRONUTRIENT DEFICITS,Selective food intake induced MICRONUTRIENT DEFICITS (moderate undernutrition) and can later lead to PROTEIN CALORIE MALNUTRITION (PCM.,0,1
6620,NONLUPUS MEMBRANOUS GLOMERULOPATHY,LUPUS MEMBRANOUS GLOMERULOPATHY,"Eleven rel biopsy specimens from patients with LUPUS MEMBRANOUS GLOMERULOPATHY (LMGN) and 16 from patients with primary (NONLUPUS MEMBRANOUS GLOMERULOPATHY (NLMGN) for whom light, electron microscopy and immunofluorescence microscopy, and full clinical data were available were examined quantitatively.",0,1
6621,ALLERGIC CONTACT DERMATITIS,HYPERSENSITIVITY REACTIONS,"In contrast to ALLERGIC CONTACT DERMATITIS however, drug induced HYPERSENSITIVITY REACTIONS of the skin have enormous variability with regard to their pathophysiological pathways, clinical signs of symptoms, severity, and the drugs which can elicit these reactions.",0,1
6622,POLLENOSIS,ATOPIC ALLERGY,"As compared to normal persons, the content of serum IgE in the patients was significantly increased; the content of IgE in tuberculosis patients appeared as high as that in patients suffering from ATOPIC ALLERGY (POLLENOSIS, bronchial asthma",0,1
6623,ATOPIC DERMATITIS,ATOPIC,Sensitization to allergens of Japanese cedar pollen is known to cause canine ATOPIC DERMATITIS as approximately 10% of ATOPIC dogs in Japan were positive to the pollen allergen.,0,1
6624,(IODINE AND TROPOMYOSINE ALLERGY,ALLERGIC REACTIONS,"Physiological role and occurrence of iodine in the organism was reviewed, moreover, ALLERGIC REACTIONS caused by iodine containing chemicals (IODINE AND TROPOMYOSINE ALLERGY",0,1
6625,ATOPIC DERMATITIS,ATOPIC DIATHESIS,ATOPIC DERMATITIS the dermatologic manifestation of the ATOPIC DIATHESIS has a variety of clinical presentations.,0,1
6626,ANEMIA OF CHRONIC REL FAILURE,ENDSTAGE REL FAILURE (ESRD,It has been approved for treatment of the ANEMIA OF CHRONIC REL FAILURE both in progressive rel failure and ENDSTAGE REL FAILURE (ESRD.,0,1
6627,DIURESIS ELECTROLYTE DEPLETION ALLERGIC REACTIONS,SULFA ALLERGY,"Some practitioners do, however, use digoxin in this setting Diuretic agents Furosemide (Lasix)  Inhibits sodium and chloride absorption in the proximal tubules, distal tubules, and loop of Henle, thereby leading to diuresis  Usual dose is 20 80 mg/d adjusted to achieve desired diuretic effect  Relief of edema or ascites in the setting of right heart failure  Excessive DIURESIS ELECTROLYTE DEPLETION ALLERGIC REACTIONS in patients with SULFA ALLERGY  Use with caution as excessive diuresis may precipitate hemodymic collapse.",0,1
6628,MELE,GI BLEEDING,"91 , 251  bleeding events (bruising, epistaxis, GI BLEEDING, hematuria, MELE) reported  1  Monitor PT or other appropriate tests closely if used with warfarin; reduce anticoagulant dosage if necessary  1 , 61 , 62 , 68 , 91 , 251    Anticonvulsants (carbamazepine, phenytoin",0,1
6629,DELAYED TYPE HYPERSENSITIVITY,NICKEL ALLERGY,NICKEL ALLERGY is manifested as contact allergic eczema elicited by DELAYED TYPE HYPERSENSITIVITY the reaction being mediated by T lymphocytes.,0,1
6630,DIABETIC KETOACIDOSIS,DIABETES,We describe DIABETIC KETOACIDOSIS and transient severe insulin resistance in a woman with DIABETES who was treated with subcutaneous terbutaline infusion,0,1
6631,ATOPIC DERMATITIS,ATOPY,All siblings were diagnosed with ATOPIC DERMATITIS and participated in a standardized interview covering aspects of ATOPY and atopic dermatitis,0,1
6632,ATOPIC ECZEMA,ATOPIC DISEASES,"Like other ATOPIC DISEASES such as asthma and hay fever, the prevalence of ATOPIC ECZEMA has increased substantially over the last 30 years, for reasons largely unknown.",0,1
6633,SUDDEN INFANT DEATHS,SIDS,"Identification of more LQTS mutations in SIDS cases could provide new insights into the pathophysiology of SIDS and, consequently, reduce the number of unexplained SUDDEN INFANT DEATHS",0,1
6634,SYSTEMIC INFLAMMATORY RESPONSE SYNDROME,SEPSIS,SEPSIS refers to a SYSTEMIC INFLAMMATORY RESPONSE SYNDROME resulting from a microbial infection.,0,1
6635,SIDS,SUDDEN INFANT DEATH,"The most common cause of SUDDEN INFANT DEATH is SIDS, defined as 'the sudden and unexpected death of an infant under 1 year of age, with onset of lethal episode apparently occurring during sleep, that remains unexplained after a thorough investigation including performance of a complete autopsy review of the circumstances of death and clinical history",0,1
